#{"t_start": 1654704754.9331267, "env_id": "gym_spaceship/Spaceship-v0"}
r,l,t
-1,73,147.645502
167,71,147.756999
1,71,147.870999
60,108,148.052709
9,75,148.194499
156,72,148.3025
1,71,148.419
156,72,148.542743
1,71,148.6665
-9,71,148.779999
157,71,148.903499
153,71,149.023501
-8,72,149.139498
160,72,149.257998
-5,71,149.369498
160,72,149.501499
-1,71,149.620681
-1,71,149.743
161,71,149.871999
1,71,149.9885
167,71,150.121
167,71,150.237998
68,108,150.442498
167,71,150.5725
157,71,150.687499
163,71,150.794499
1,71,150.898499
-3,109,151.090001
4,108,151.268999
153,71,151.372999
1,71,151.483502
149,71,151.592498
6,108,151.768503
-52,72,151.866002
0,108,152.048999
1,71,152.164499
1,71,152.276998
-1,71,152.392999
2,74,152.504999
160,72,152.622999
1,71,152.731999
2,74,152.852499
161,71,152.9605
157,71,153.0835
10,144,153.3325
8,108,153.5135
58,108,153.681501
1,71,153.790498
1,71,153.905499
1,71,154.021002
-1,71,154.134005
1,71,154.2405
-46,72,154.366501
167,71,154.463501
1,71,154.568003
1,71,154.690503
167,71,154.8045
5,75,154.948498
160,72,155.064998
1,71,155.1935
161,71,155.312
-1,71,155.415998
167,71,155.534001
-1,73,155.692604
1,71,155.793
1,71,155.992583
156,72,156.113003
-1,71,156.2335
-1,71,156.347999
1,71,156.472499
163,71,156.579001
162,72,156.702499
152,72,156.815002
58,108,156.972533
1,71,157.072499
1,71,157.176499
2,108,157.325
-19,73,157.432999
162,72,157.538501
163,71,157.656999
-1,71,157.771501
8,108,157.923499
1,71,158.023999
10,108,158.196
163,71,158.311
-26,72,158.429499
1,71,158.548001
166,72,158.657
162,72,158.7655
63,109,158.934498
1,71,159.089001
-33,71,159.192
167,71,159.294
167,71,159.4025
156,72,159.5185
160,72,159.6185
167,71,159.7295
161,71,159.860001
-20,72,159.981498
1,71,160.081
1,71,160.1995
1,71,160.317999
-1,109,160.490999
1,71,160.603
167,71,160.710757
1,71,160.815999
161,71,160.920498
-4,144,161.1415
-1,71,161.251
161,71,161.356499
167,71,161.473
1,73,161.603499
52,108,161.826999
167,71,161.949998
167,71,162.074998
1,71,162.187999
1,71,162.303999
68,144,162.573999
-1,71,162.687499
1,71,162.862999
60,108,163.076501
167,71,163.1895
10,144,163.438499
1,71,163.562999
48,108,163.753
1,71,163.869
161,71,163.990571
-1,71,164.113001
161,71,164.255
-2,108,164.435999
-1,71,164.563
167,71,164.6815
-1,71,164.8085
1,71,164.915998
-1,71,165.018998
161,71,165.126999
-1,71,165.233499
-10,72,165.344498
1,71,165.447
-1,71,165.559001
161,71,165.6635
-1,71,165.777998
1,71,165.879503
2,110,166.039499
1,71,166.148498
56,108,166.333999
-10,144,166.584001
57,109,166.755001
22,144,166.969
8,108,167.136
161,71,167.2375
161,71,167.355001
160,72,167.481
-1,71,167.59
2,72,167.694999
1,71,167.807002
156,72,167.9235
161,71,168.021499
156,72,168.138999
161,71,168.239498
161,71,168.345006
-1,71,168.456999
156,72,168.617499
0,108,168.8395
-23,73,168.969002
157,71,169.092999
163,71,169.201499
157,71,169.316499
163,71,169.438498
-2,72,169.547
166,72,169.661003
163,71,169.775
1,111,169.951002
-45,71,170.0645
2,74,170.1855
155,71,170.2955
159,71,170.420999
159,71,170.5295
163,71,170.649004
163,71,170.795085
1,71,170.94212
163,71,171.062
54,108,171.248499
-1,71,171.384501
163,71,171.517499
1,71,171.651008
1,71,171.785001
-1,75,171.901
-1,71,172.007
1,71,172.114999
1,71,172.224502
163,71,172.3555
12,108,172.546001
1,71,172.679
-58,72,172.7955
1,71,172.905003
1,71,173.0255
163,71,173.135999
163,71,173.239499
1,71,173.366998
-1,71,173.482
1,71,173.5935
58,108,173.795003
-1,71,173.908001
57,109,174.087001
-6,72,174.193007
155,71,174.302999
159,71,174.415499
1,71,174.532501
159,71,174.633999
54,108,174.814998
1,71,174.927501
-1,71,175.035002
159,71,175.150501
10,108,175.340001
-1,71,175.459
158,72,175.5645
-1,71,175.669002
-1,71,175.788505
162,72,175.8975
162,72,176.028999
-1,71,176.1765
162,72,176.2795
163,71,176.429998
1,71,176.581498
-1,71,176.722003
-1,71,176.832498
1,71,176.948999
1,71,177.051121
1,71,177.152998
163,71,177.2665
167,71,177.365499
163,71,177.4705
1,71,177.588999
1,71,177.690499
1,71,177.807503
-3,71,177.9195
163,71,178.037998
167,71,178.150998
162,72,178.263499
-1,71,178.365
162,72,178.489499
1,71,178.625006
163,71,178.773068
167,71,178.882
1,73,178.998001
163,71,179.131999
-1,71,179.231999
163,71,179.355999
58,108,179.545499
-1,71,179.669
1,71,179.864
-1,71,179.968499
-1,71,180.091501
163,71,180.204628
5,71,180.318
163,71,180.432
-1,71,180.548998
167,71,180.6495
1,109,180.805
0,108,180.972999
167,71,181.117117
68,108,181.280502
68,108,181.4375
-1,71,181.557499
-1,71,181.6865
167,71,181.793998
3,71,181.901629
-1,71,182.011498
167,71,182.126999
163,71,182.2385
151,71,182.3495
151,71,182.4535
167,71,182.5645
2,72,182.6685
2,74,182.771499
155,71,182.884
-1,71,182.992501
155,71,183.103151
-21,71,183.207001
14,108,183.375502
10,180,183.6645
-1,71,183.772999
84,108,183.944499
-1,71,184.0615
155,71,184.1795
-1,71,184.2955
163,71,184.411999
167,71,184.527502
-1,71,184.6495
163,71,184.7605
64,144,184.995499
167,71,185.096999
-1,71,185.211
3,71,185.318999
167,71,185.436499
166,72,185.5415
1,71,185.646503
1,71,185.752498
60,108,185.966501
68,108,186.134499
3,71,186.238502
167,71,186.340498
167,71,186.490999
-1,71,186.64
167,71,186.758499
-1,71,186.904499
1,71,187.0065
167,71,187.116
166,72,187.226003
22,108,187.418998
10,72,187.5395
3,71,187.64168
18,108,187.824
163,71,187.931999
63,109,188.104001
166,72,188.214499
-19,71,188.333002
-5,71,188.44
63,109,188.616498
-21,71,188.722998
1,71,188.854499
167,71,188.964
41,71,189.074
167,71,189.201499
167,71,189.306499
-1,71,189.413503
-1,71,189.528499
167,71,189.6525
163,71,189.7825
1,71,189.910034
-1,71,190.037
163,71,190.140554
151,71,190.261
155,71,190.3835
155,71,190.499
-20,72,190.624999
155,71,190.747
-11,71,190.860498
3,71,190.961501
-1,71,191.068499
-5,71,191.172
-47,71,191.289501
13,71,191.397499
155,71,191.506001
-3,71,191.615499
3,71,191.721498
157,71,191.837498
1,71,191.981
-3,71,192.088502
3,71,192.208503
5,71,192.343499
14,74,192.458998
60,108,192.639569
157,71,192.769499
163,71,192.876999
-8,144,193.107
-5,71,193.211627
-1,71,193.3225
-11,71,193.424999
-3,71,193.534
88,144,193.803998
139,71,193.921999
4,108,194.104499
155,71,194.2125
-57,71,194.309999
151,71,194.423498
151,71,194.543998
-8,144,194.774498
-3,71,194.885998
-13,71,195.005999
58,108,195.1705
157,71,195.2765
3,71,195.401002
157,71,195.526
4,108,195.729
-3,71,195.839998
-3,71,195.9395
157,71,196.059499
157,71,196.173499
157,71,196.289131
163,71,196.406501
-3,71,196.511999
9,71,196.635499
167,71,196.760499
167,71,196.868499
12,144,197.1165
-3,71,197.266503
4,72,197.382498
