#{"t_start": 1653991676.9744394, "env_id": "gym_spaceship/Spaceship-v0"}
r,l,t
-13,71,30.191701
-18,108,30.346541
1,109,30.511455
-17,71,30.624063
-17,71,30.72663
-25,71,30.836727
-25,71,30.93833
-14,108,31.077503
-23,71,31.173924
2,144,31.372935
-24,108,31.553929
-3,71,31.673576
-6,108,31.846949
-4,72,31.962031
-15,109,32.189039
-43,109,32.516086
-13,71,32.743369
-7,71,32.841546
-15,75,32.939534
-13,71,33.030514
5,73,33.139089
10,108,33.286852
-9,111,33.434034
0,72,33.562027
-5,109,33.737138
17,71,33.821979
-28,108,33.958637
-12,108,34.103899
5,71,34.206943
7,71,34.319516
15,71,34.4256
6,72,34.522567
-2,108,34.669305
-21,75,34.759708
-3,71,34.852131
2,72,34.988539
1,71,35.110805
-29,71,35.216882
-17,71,35.309567
-5,109,35.458268
-34,72,35.557251
-36,108,35.719133
12,108,35.908385
-25,71,36.011437
-5,73,36.130093
-15,71,36.269854
18,108,36.470181
-27,71,36.570792
-26,108,36.76033
-23,71,36.908751
-16,108,37.05798
8,72,37.202429
-15,71,37.320363
-12,108,37.472263
-30,144,37.693004
-34,144,37.911919
-17,71,37.998327
-17,71,38.08671
6,108,38.219255
8,108,38.347932
-11,71,38.437836
-8,72,38.521195
9,71,38.60704
-9,71,38.690371
10,108,38.825147
-18,108,38.95885
-23,71,39.048317
-18,180,39.26797
-26,108,39.401374
-1,71,39.49025
-1,71,39.578615
15,71,39.661497
-31,71,39.749872
-34,108,39.880439
-23,71,39.971298
-11,71,40.057643
-15,71,40.140477
11,71,40.228836
15,71,40.314676
-25,73,40.407549
-12,108,40.537614
-8,108,40.670666
-11,71,40.759022
-14,146,40.933306
-2,72,41.020653
-15,75,41.11453
-10,216,41.37469
-2,108,41.506254
-31,71,41.594646
-18,144,41.771349
11,71,41.861212
-31,71,41.947062
-9,71,42.033911
-23,71,42.121719
-17,73,42.213636
-35,75,42.306521
-31,71,42.391354
-9,71,42.479719
6,108,42.611779
-4,110,42.748355
-6,108,42.880442
-12,74,42.968297
-29,71,43.054148
-24,108,43.186679
-10,108,43.317353
-2,108,43.44944
15,71,43.539811
0,108,43.672336
-8,108,43.8024
-14,72,43.888747
-37,71,43.975186
-19,111,44.106716
5,71,44.213382
6,108,44.345919
-16,144,44.52369
-23,71,44.611547
-19,71,44.698892
-5,71,44.782682
6,72,44.870623
-27,73,44.960528
-21,71,45.045905
-11,71,45.135271
-23,71,45.240857
-11,71,45.329747
-11,73,45.41814
5,71,45.515185
-9,71,45.608267
-13,111,45.744314
3,71,45.837175
-22,108,45.968209
-10,108,46.098233
15,71,46.18904
-12,108,46.326169
-11,109,46.460814
-3,71,46.551681
-10,108,46.685299
4,108,46.814832
-27,71,46.897662
-7,71,46.988533
0,72,47.07689
-2,108,47.209477
-13,71,47.29934
-24,108,47.430383
-17,71,47.524272
-23,71,47.609675
-18,108,47.741863
3,71,47.831215
-11,71,47.919569
-15,71,48.00993
4,144,48.189638
-11,71,48.278293
-24,72,48.36514
-4,74,48.45719
-21,71,48.547509
-13,71,48.635377
-2,108,48.811393
1,71,48.932029
-23,181,49.169611
-4,108,49.303163
-7,71,49.399233
2,144,49.578456
5,145,49.760342
-13,71,49.849116
-19,71,49.937459
-2,108,50.070499
-26,108,50.203043
-10,108,50.33559
-17,71,50.426458
-10,72,50.517362
-4,108,50.657601
14,110,50.791246
-2,108,50.921777
-13,71,51.012133
-17,71,51.106047
-28,180,51.329268
-32,72,51.417129
16,108,51.626218
-21,71,51.716094
-20,108,51.854238
-7,71,51.940647
7,109,52.074737
8,108,52.211787
-13,71,52.29864
-17,71,52.389076
7,75,52.486071
4,108,52.622118
-14,72,52.713991
11,71,52.797333
7,71,52.88719
16,74,52.982491
-13,73,53.077914
-10,144,53.258276
9,71,53.347157
-6,108,53.482741
8,108,53.619285
-20,108,53.757071
-24,108,53.894131
-13,71,53.981975
-12,72,54.073845
-14,144,54.250803
24,72,54.342657
-9,71,54.434535
-14,108,54.572117
-41,109,54.708687
-29,71,54.803061
-17,71,54.895001
1,71,54.985972
3,71,55.073825
-20,108,55.212379
-19,71,55.305747
1,75,55.404146
3,71,55.498022
26,108,55.641115
21,73,55.73546
-7,71,55.82833
-15,71,55.91693
-21,71,56.007846
-39,71,56.098824
-18,144,56.281515
6,72,56.373633
-2,108,56.510892
-9,71,56.603771
-11,71,56.694634
-7,73,56.790018
-13,71,56.886766
-5,71,56.980639
-15,71,57.073964
-24,144,57.258695
-36,146,57.443435
-7,71,57.536308
-27,75,57.638825
-1,73,57.730723
0,108,57.8668
-2,72,57.973359
-4,108,58.116017
-15,145,58.299322
-3,109,58.443024
-18,72,58.535392
-31,71,58.626853
15,71,58.7245
18,72,58.817868
-31,71,58.909229
2,108,59.051803
-5,145,59.232518
-13,71,59.324892
-7,71,59.418265
-9,71,59.505609
25,71,59.599488
-20,108,59.74225
13,71,59.836367
-21,71,59.925225
-5,71,60.014612
-15,71,60.109552
22,108,60.246667
-31,71,60.338555
-8,72,60.433466
-8,144,60.619221
-17,71,60.713095
12,144,60.893307
-17,71,60.980263
-26,72,61.075236
-5,71,61.170666
-15,71,61.262093
-26,72,61.35401
-15,71,61.447505
-23,71,61.531375
-19,71,61.624792
-12,72,61.719581
-15,71,61.811277
-5,71,61.903342
-4,108,62.04198
-31,71,62.132139
-24,74,62.231864
-37,71,62.323474
-14,72,62.417872
-29,71,62.505413
20,144,62.690982
38,108,62.836624
-15,71,62.930486
-12,72,63.023356
-6,110,63.172486
-19,71,63.259401
4,108,63.404106
-2,108,63.545687
-11,71,63.644608
28,108,63.788521
-3,109,63.92861
-18,108,64.070741
-31,71,64.167398
-7,73,64.259297
-11,71,64.353176
8,108,64.49379
-20,144,64.676626
13,111,64.823813
13,71,64.91774
-42,108,65.058412
-11,71,65.147829
-3,71,65.24355
-18,72,65.33493
-28,108,65.475
23,71,65.567871
20,108,65.706926
15,71,65.800837
4,108,65.940531
-15,71,66.030406
-23,71,66.123776
-7,71,66.216146
-11,73,66.305827
2,108,66.443878
17,71,66.534238
20,72,66.628654
-33,71,66.720021
10,74,66.813022
-5,75,66.906901
-13,71,66.996755
5,71,67.084675
-13,75,67.180148
-13,71,67.270072
2,108,67.413102
-7,71,67.506486
-10,72,67.599863
-19,71,67.687231
35,71,67.780673
-13,71,67.869555
-17,71,67.960419
-9,71,68.048802
3,71,68.13866
8,108,68.276271
2,108,68.413339
-33,71,68.501717
-7,71,68.596595
-21,71,68.681937
25,71,68.776818
7,71,68.869986
-18,180,69.098006
-16,72,69.18887
-8,72,69.282283
-7,71,69.37419
-15,71,69.461536
-7,71,69.555943
-9,71,69.708561
-5,71,69.82673
10,74,69.958311
-17,71,70.051101
4,74,70.142984
-7,71,70.233349
-25,71,70.33278
-19,71,70.450355
29,73,70.635393
-29,71,70.754054
-5,145,71.031979
